organization,yof,badge,zip_code,city,regular,retro,other,overtime,injured,detail,quinn,total,rank,ia_score,ia_sustained_conduct_unbecoming,ia_sustained_neg_duty,ia_sustained_respectful_treatment,ia_sustained_self_identification,ia_sustained_use_of_force,ia_sustained_details,ia_sustained_cases,ia_sustained_allegations,ia_cases,ia_allegations,field_contacts_count,incidents_count,complaints_count,swats_count,details_count,citations_count,articles_officers_count,rounded_total
B-2 DCU SQUAD,7,1033,2125,Boston,68115.46,0,4167.96,13445.14,0,0,0,85728.56,ptl,1,0,0,0,0,0,0,0,0,2,2,56,80,2,0,0,0,0,85000
District 18,7,2600,2131,Roslindale,56659.44,0,800,2429.12,33054.8,0,0,92943.36,ptl,2,0,0,0,0,0,0,0,0,5,6,43,79,5,0,0,1,0,95000
Medically Incapacitated Unit,6,1027,2136,Hyde Park,42409.19,0,800,3572.61,46434.33,368,0,93584.13,ptl,0,0,0,0,0,0,0,0,0,1,1,6,138,1,0,1,6,1,95000
District 07,24,,2131,Roslindale,65074.58,0,12289.71,0,0,0,16268.62,93632.91,lieut,2,0,0,1,0,0,0,1,1,3,3,0,1,3,0,0,0,2,95000
E-13 Detective,16,1806,2128,Boston,78357.15,0,800,0,0,0,15671.39,94828.54,det,3,1,0,0,0,0,0,1,1,3,4,3,83,3,0,0,0,0,95000
District 01,7,6531,2124,Boston,421,0,800,0,93781.32,184,0,95186.32,ptl,3,0,1,0,0,0,0,1,1,2,2,18,86,2,0,0,0,0,95000
Evidence Control Unit,14,6579,2081,Walpole,96775.72,0,800,0,0,0,0,97575.72,ptl,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,100000
District 13,13,632,2571,Wareham,98044.9,0,800,0,0,0,0,98844.9,ptl,1,0,0,0,0,0,0,0,0,2,2,0,27,2,0,0,0,0,100000
District 05,15,1426,2081,Walpole,38276.71,0,800,486.25,59305.63,0,0,98868.59,ptl,1,0,0,0,0,0,0,0,0,3,3,2,29,3,37,0,9,0,100000
Extended Sick Unit,15,386,2124,Boston,66018.96,0,800,2298.14,29879.84,0,0,98996.94,ptl,4,1,1,0,0,0,0,3,3,4,4,2,129,4,0,0,1,0,100000
Medically Incapacitated Unit,13,,2171,Quincy,0,0,800,0,98406.32,0,0,99206.32,ptl,2,0,0,0,0,0,0,1,1,1,1,4,24,1,0,0,0,1,100000
District 04,15,,1748,Hopkinton,0,0,800,0,98406.32,0,0,99206.32,ptl,2,0,0,0,0,0,1,2,2,3,3,4,91,3,0,0,0,0,100000
District 18,13,,2132,West Roxbury,89920.74,0,800,3014.07,6055.03,0,0,99789.84,ptl,3,0,1,0,0,0,0,1,1,1,1,0,295,1,0,0,0,0,100000
District 01,21,,2124,Boston,220.03,0,850,0,91726.1,0,8375.37,100731.44,ptl,3,0,1,0,0,0,0,1,1,2,3,66,90,2,0,0,0,3,100000
District 11,14,,2132,West Roxbury,76327.61,0,850,0,0,0,23738.17,100915.78,sergt,0,0,0,0,0,0,0,0,0,1,1,47,66,1,0,0,0,3,100000
Medically Incapacitated Unit,13,,2081,Walpole,96775.72,0,850,3536.04,0,0,0,101161.76,ptl,2,0,0,0,0,0,0,1,1,1,1,7,267,1,0,0,2,0,100000
District 07,13,,2136,Hyde Park,96775.72,0,850,3846.91,0,0,0,101472.63,ptl,0,0,0,0,0,0,0,0,0,1,1,21,32,1,0,0,2,0,100000
Medically Incapacitated Unit,7,,2132,West Roxbury,47825.07,0,800,6201.23,46377.25,736,0,101939.55,ptl,0,0,0,0,0,0,0,0,0,0,0,39,85,0,0,1,2,1,100000
Medically Incapacitated Unit,31,,2126,Mattapan,0,0,850,0,101197.92,0,0,102047.92,ptl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,100000
Medically Incapacitated Unit,9,,2122,Boston,0,0,9219.91,0,92904.49,0,0,102124.4,ptl,0,0,0,0,0,0,0,0,0,1,1,2,46,1,0,0,0,0,100000
