,incident_type,finding,action_taken
0,Citizen complaint,Not Sustained,No action
2,Citizen complaint,Not Sustained,No action
8,Citizen complaint,Exonerated,No action
9,Citizen complaint,Exonerated,No action
12,Citizen complaint,Sustained,Resigned/Retired and Charges Pending
13,Citizen complaint,Sustained,No action
14,Citizen complaint,Sustained,No action
17,Citizen complaint,Not Sustained,No action
18,Citizen complaint,Unfounded,No action
19,Citizen complaint,Unfounded,No action
20,Citizen complaint,Sustained,Settlement Agreement
21,Citizen complaint,Sustained,No action
23,Citizen complaint,Not Sustained,No action
25,Citizen complaint,Unfounded,No action
26,Citizen complaint,Unfounded,No action
27,Citizen complaint,Unfounded,No action
28,Citizen complaint,Sustained,Oral Reprimand
29,Citizen complaint,Unfounded,No action
30,Citizen complaint,Unfounded,No action
31,Citizen complaint,Not Sustained,No action
32,Citizen complaint,Not Sustained,No action
33,Citizen complaint,Exonerated,No action
34,Citizen complaint,Exonerated,No action
35,Citizen complaint,Exonerated,No action
36,Citizen complaint,Not Sustained,No action
37,Citizen complaint,Not Sustained,No action
38,Citizen complaint,Not Sustained,No action
39,Citizen complaint,Not Sustained,No action
48,Citizen complaint,Not Sustained,No action
50,Citizen complaint,Not Sustained,No action
51,Citizen complaint,Not Sustained,No action
55,Citizen complaint,Exonerated,No action
56,Citizen complaint,Not Sustained,No action
57,Citizen complaint,Exonerated,No action
58,Citizen complaint,Exonerated,No action
59,Citizen complaint,Unfounded,No action
60,Citizen complaint,Unfounded,No action
61,Citizen complaint,Not Sustained,No action
62,Citizen complaint,Not Sustained,No action
63,Citizen complaint,Unfounded,No action
64,Citizen complaint,Unfounded,No action
65,Citizen complaint,Not Sustained,No action
66,Citizen complaint,Unfounded,No action
67,Citizen complaint,Unfounded,No action
68,Citizen complaint,Sustained,Oral Reprimand
69,Citizen complaint,Not Sustained,No action
70,Citizen complaint,Not Sustained,No action
71,Citizen complaint,Pending,No action
72,Citizen complaint,Pending,No action
73,Citizen complaint,Not Sustained,No action
74,Citizen complaint,Not Sustained,No action
75,Citizen complaint,Exonerated,No action
76,Citizen complaint,Sustained,Oral Reprimand
78,Citizen complaint,Not Sustained,No action
79,Citizen complaint,Not Sustained,No action
81,Citizen complaint,Pending,No action
82,Citizen complaint,Unfounded,No action
86,Citizen complaint,Sustained,Oral Reprimand
87,Citizen complaint,Not Sustained,No action
88,Citizen complaint,Not Sustained,No action
89,Citizen complaint,Not Sustained,No action
90,Citizen complaint,Sustained,Oral Reprimand
91,Citizen complaint,Not Sustained,No action
92,Citizen complaint,Not Sustained,No action
93,Citizen complaint,Not Sustained,No action
94,Citizen complaint,Not Sustained,No action
95,Citizen complaint,Not Sustained,No action
96,Citizen complaint,Unfounded,No action
97,Citizen complaint,Not Sustained,No action
99,Citizen complaint,Unfounded,No action
100,Citizen complaint,Sustained,Oral Reprimand
101,Citizen complaint,Unfounded,No action
102,Citizen complaint,Unfounded,No action
103,Citizen complaint,Exonerated,No action
104,Citizen complaint,Exonerated,No action
105,Citizen complaint,Exonerated,No action
106,Citizen complaint,Not Sustained,No action
107,Citizen complaint,Not Sustained,No action
108,Citizen complaint,Exonerated,No action
109,Citizen complaint,Not Sustained,No action
110,Citizen complaint,Not Sustained,No action
111,Citizen complaint,Not Sustained,No action
112,Citizen complaint,Not Sustained,No action
115,Citizen complaint,Filed,No action
116,Citizen complaint,Not Sustained,No action
117,Citizen complaint,Not Sustained,No action
118,Citizen complaint,Exonerated,No action
119,Citizen complaint,Not Sustained,No action
120,Citizen complaint,Not Sustained,No action
121,Citizen complaint,Not Sustained,No action
123,Citizen complaint,Not Sustained,No action
124,Citizen complaint,Unfounded,No action
125,Citizen complaint,Unfounded,No action
126,Citizen complaint,Unfounded,No action
127,Citizen complaint,Unfounded,No action
128,Citizen complaint,Unfounded,No action
129,Citizen complaint,Not Sustained,No action
130,Citizen complaint,Not Sustained,No action
131,Citizen complaint,Unfounded,No action
132,Citizen complaint,Unfounded,No action
133,Citizen complaint,Unfounded,No action
134,Citizen complaint,Unfounded,No action
135,Citizen complaint,Unfounded,No action
136,Citizen complaint,Unfounded,No action
137,Citizen complaint,Not Sustained,No action
139,Citizen complaint,Not Sustained,No action
140,Citizen complaint,Not Sustained,No action
141,Citizen complaint,Unfounded,No action
142,Citizen complaint,Unfounded,No action
143,Citizen complaint,Not Sustained,No action
144,Citizen complaint,Not Sustained,No action
148,Citizen complaint,Exonerated,No action
149,Citizen complaint,Not Sustained,No action
150,Citizen complaint,Unfounded,No action
151,Citizen complaint,Unfounded,No action
152,Citizen complaint,Unfounded,No action
153,Citizen complaint,Unfounded,No action
154,Citizen complaint,Unfounded,No action
155,Citizen complaint,Unfounded,No action
156,Citizen complaint,Not Sustained,No action
157,Citizen complaint,Unfounded,No action
159,Citizen complaint,Sustained,Oral Reprimand
160,Citizen complaint,Not Sustained,No action
161,Citizen complaint,Not Sustained,No action
162,Citizen complaint,Not Sustained,No action
163,Citizen complaint,Not Sustained,No action
164,Citizen complaint,Not Sustained,No action
165,Citizen complaint,Not Sustained,No action
166,Citizen complaint,Not Sustained,No action
167,Citizen complaint,Not Sustained,No action
168,Citizen complaint,Not Sustained,No action
169,Citizen complaint,Exonerated,No action
170,Citizen complaint,Exonerated,No action
171,Citizen complaint,Sustained,Oral Reprimand
172,Citizen complaint,Not Sustained,No action
173,Citizen complaint,Unfounded,No action
174,Citizen complaint,Sustained,No action
175,Citizen complaint,Unfounded,No action
