,incident_type,finding,action_taken
1,Internal investigation,Sustained,No action
3,Internal investigation,Sustained,No action
4,Internal investigation,Unfounded,No action
5,Internal investigation,Unfounded,No action
6,Internal investigation,Sustained,Suspension
7,Internal investigation,Sustained,Suspension
10,Internal investigation,Sustained,No action
11,Internal investigation,Sustained,No action
15,Internal investigation,Sustained,Resigned/Retired and Charges Pending
16,Internal investigation,Sustained,No action
22,Internal investigation,Sustained,Retired
24,Internal investigation,Sustained,No action
40,Internal investigation,Sustained,Suspension
41,Internal investigation,Sustained,No action
42,Internal investigation,Sustained,No action
43,Internal investigation,Sustained,No action
44,Internal investigation,Sustained,No action
45,Internal investigation,Sustained,No action
46,Internal investigation,Not Sustained,No action
47,Internal investigation,Not Sustained,No action
49,Internal investigation,Unfounded,No action
52,Internal investigation,Sustained,Oral Reprimand
53,Internal investigation,Sustained,Oral Reprimand
54,Internal investigation,Sustained,Administrative Hearing
77,Internal investigation,Sustained,Suspension
80,Internal investigation,Not Sustained,No action
83,Internal investigation,Not Sustained,No action
84,Internal investigation,Sustained,Oral Reprimand
85,Internal investigation,Not Sustained,No action
98,Internal investigation,Sustained,Suspension
113,Internal investigation,Pending,No action
114,Internal investigation,Pending,No action
122,Internal investigation,Not Sustained,No action
138,Internal investigation,Sustained,No action
145,Internal investigation,Sustained,No action
146,Internal investigation,Sustained,No action
147,Internal investigation,Sustained,No action
158,Internal investigation,Sustained,Oral Reprimand
181,Internal investigation,Sustained,Settlement Agreement
196,Internal investigation,Exonerated,No action
197,Internal investigation,Sustained,Resigned/Retired and Charges Pending
211,Internal investigation,Sustained,No action
212,Internal investigation,Sustained,No action
213,Internal investigation,Sustained,No action
214,Internal investigation,Sustained,No action
220,Internal investigation,Sustained,No action
221,Internal investigation,Not Sustained,No action
222,Internal investigation,Unfounded,No action
223,Internal investigation,Unfounded,Oral Reprimand
224,Internal investigation,Unfounded,No action
225,Internal investigation,Unfounded,No action
226,Internal investigation,Sustained,No action
227,Internal investigation,Sustained,No action
228,Internal investigation,Sustained,No action
229,Internal investigation,Sustained,No action
231,Internal investigation,Sustained,No action
235,Internal investigation,Sustained,Oral Reprimand
236,Internal investigation,Sustained,Suspension
237,Internal investigation,Sustained,Oral Reprimand
238,Internal investigation,Sustained,Oral Reprimand
239,Internal investigation,Sustained,No action
242,Internal investigation,Not Sustained,No action
245,Internal investigation,Sustained,No action
246,Internal investigation,Sustained,No action
248,Internal investigation,Sustained,No action
249,Internal investigation,Sustained,No action
250,Internal investigation,Sustained,No action
251,Internal investigation,Sustained,No action
252,Internal investigation,Sustained,No action
253,Internal investigation,Sustained,No action
254,Internal investigation,Sustained,No action
255,Internal investigation,Sustained,No action
256,Internal investigation,Sustained,No action
257,Internal investigation,Sustained,No action
260,Internal investigation,Sustained,Suspension
261,Internal investigation,Sustained,Suspension
266,Internal investigation,Sustained,Resigned/Retired and Charges Pending
271,Internal investigation,Sustained,No action
272,Internal investigation,Sustained,No action
273,Internal investigation,Sustained,No action
274,Internal investigation,Sustained,No action
275,Internal investigation,Sustained,No action
276,Internal investigation,Sustained,No action
277,Internal investigation,Sustained,No action
278,Internal investigation,Sustained,No action
279,Internal investigation,Sustained,No action
280,Internal investigation,Sustained,No action
281,Internal investigation,Sustained,No action
282,Internal investigation,Sustained,Oral Reprimand
283,Internal investigation,Sustained,Oral Reprimand
284,Internal investigation,Sustained,No action
285,Internal investigation,Not Sustained,No action
289,Internal investigation,Sustained,Suspension
290,Internal investigation,Not Sustained,No action
291,Internal investigation,Not Sustained,No action
292,Internal investigation,Sustained,No action
295,Internal investigation,Sustained,No action
306,Internal investigation,Unfounded,No action
307,Internal investigation,Unfounded,No action
308,Internal investigation,Unfounded,No action
309,Internal investigation,Sustained,No action
310,Internal investigation,Sustained,No action
311,Internal investigation,Sustained,Retired
319,Internal investigation,Sustained,Oral Reprimand
320,Internal investigation,Sustained,No action
322,Internal investigation,Sustained,Suspension
323,Internal investigation,Sustained,No action
324,Internal investigation,Sustained,No action
325,Internal investigation,Sustained,Oral Reprimand
326,Internal investigation,Withdrawn,No action
327,Internal investigation,Withdrawn,No action
328,Internal investigation,Sustained,Suspension
332,Internal investigation,Exonerated,No action
333,Internal investigation,Sustained,No action
334,Internal investigation,Sustained,No action
335,Internal investigation,Sustained,No action
343,Internal investigation,Sustained,No action
344,Internal investigation,Sustained,No action
345,Internal investigation,Sustained,Resigned/Retired and Charges Pending
346,Internal investigation,Sustained,Resigned/Retired and Charges Pending
347,Internal investigation,Sustained,No action
348,Internal investigation,Not Sustained,No action
349,Internal investigation,Not Sustained,No action
363,Internal investigation,Not Sustained,Oral Reprimand
364,Internal investigation,Unfounded,No action
365,Internal investigation,Not Sustained,No action
367,Internal investigation,Exonerated,No action
368,Internal investigation,Unfounded,No action
369,Internal investigation,Sustained,No action
371,Internal investigation,Unfounded,No action
372,Internal investigation,Exonerated,No action
373,Internal investigation,Sustained,No action
374,Internal investigation,Sustained,No action
375,Internal investigation,Sustained,No action
376,Internal investigation,Sustained,No action
379,Internal investigation,Unfounded,No action
